count,msg_size,avg,min,maximum,nnode,ppn,cl,sharp
1,4,6.17,6.13,6.19,4,1,basic,no-sharp
2,8,7.4,7.37,7.45,4,1,basic,no-sharp
4,16,7.36,7.34,7.39,4,1,basic,no-sharp
8,32,7.39,7.38,7.41,4,1,basic,no-sharp
16,64,7.84,7.8,7.87,4,1,basic,no-sharp
32,128,8.25,8.19,8.28,4,1,basic,no-sharp
64,256,10.48,10.46,10.5,4,1,basic,no-sharp
128,512,11.0,10.95,11.04,4,1,basic,no-sharp
256,1024,11.3,11.29,11.34,4,1,basic,no-sharp
512,2048,12.26,12.21,12.3,4,1,basic,no-sharp
1024,4096,14.04,13.94,14.1,4,1,basic,no-sharp
2048,8192,18.92,18.84,19.04,4,1,basic,no-sharp
4096,16384,25.43,25.38,25.51,4,1,basic,no-sharp
8192,32768,38.64,38.51,38.83,4,1,basic,no-sharp
16384,65536,65.53,65.28,65.73,4,1,basic,no-sharp
32768,131072,114.65,114.21,114.95,4,1,basic,no-sharp
65536,262144,208.55,208.07,208.91,4,1,basic,no-sharp
131072,524288,403.41,402.48,403.88,4,1,basic,no-sharp
262144,1048576,780.52,778.86,782.72,4,1,basic,no-sharp
524288,2097152,1531.77,1522.9,1548.73,4,1,basic,no-sharp
1048576,4194304,3065.21,3043.49,3096.68,4,1,basic,no-sharp
2097152,8388608,8248.17,8174.81,8302.65,4,1,basic,no-sharp
4194304,16777216,26848.45,26635.23,27073.83,4,1,basic,no-sharp
8388608,33554432,53954.32,53573.13,54318.0,4,1,basic,no-sharp
16777216,67108864,106838.99,105503.12,108094.96,4,1,basic,no-sharp
1,4,2.76,2.74,2.77,4,1,basic,llt-arw
2,8,2.76,2.76,2.77,4,1,basic,llt-arw
4,16,2.8,2.78,2.82,4,1,basic,llt-arw
8,32,2.88,2.87,2.88,4,1,basic,llt-arw
16,64,3.42,3.4,3.46,4,1,basic,llt-arw
32,128,3.89,3.85,3.92,4,1,basic,llt-arw
64,256,4.16,4.15,4.19,4,1,basic,llt-arw
128,512,5.02,4.98,5.05,4,1,basic,llt-arw
256,1024,6.1,6.05,6.14,4,1,basic,llt-arw
512,2048,8.02,7.96,8.07,4,1,basic,llt-arw
1024,4096,15.48,15.44,15.54,4,1,basic,llt-arw
2048,8192,29.07,29.01,29.14,4,1,basic,llt-arw
4096,16384,56.4,56.34,56.45,4,1,basic,llt-arw
8192,32768,109.22,109.02,109.43,4,1,basic,llt-arw
16384,65536,214.93,213.91,215.4,4,1,basic,llt-arw
32768,131072,426.33,425.17,426.75,4,1,basic,llt-arw
65536,262144,853.65,853.48,853.8,4,1,basic,llt-arw
131072,524288,1687.97,1687.84,1688.03,4,1,basic,llt-arw
262144,1048576,3371.85,3371.65,3372.01,4,1,basic,llt-arw
524288,2097152,6726.68,6726.26,6727.11,4,1,basic,llt-arw
1048576,4194304,13482.61,13481.95,13484.0,4,1,basic,llt-arw
2097152,8388608,29838.02,29836.72,29839.34,4,1,basic,llt-arw
1,4,2.73,2.71,2.75,4,1,basic,sat-nr
2,8,2.74,2.72,2.75,4,1,basic,sat-nr
4,16,2.78,2.77,2.79,4,1,basic,sat-nr
8,32,2.88,2.88,2.89,4,1,basic,sat-nr
16,64,5.22,5.21,5.25,4,1,basic,sat-nr
32,128,5.29,5.29,5.3,4,1,basic,sat-nr
64,256,5.93,5.16,6.63,4,1,basic,sat-nr
128,512,6.05,5.27,6.79,4,1,basic,sat-nr
256,1024,6.23,5.56,6.57,4,1,basic,sat-nr
512,2048,6.82,6.0,7.22,4,1,basic,sat-nr
1024,4096,7.22,6.1,7.84,4,1,basic,sat-nr
2048,8192,8.18,7.2,9.19,4,1,basic,sat-nr
4096,16384,10.5,9.8,11.78,4,1,basic,sat-nr
8192,32768,15.87,15.07,17.24,4,1,basic,sat-nr
16384,65536,27.6,26.93,29.34,4,1,basic,sat-nr
32768,131072,51.09,50.41,52.55,4,1,basic,sat-nr
65536,262144,97.87,97.15,99.55,4,1,basic,sat-nr
131072,524288,220.19,219.47,221.69,4,1,basic,sat-nr
262144,1048576,438.43,437.77,440.21,4,1,basic,sat-nr
524288,2097152,880.36,879.59,882.39,4,1,basic,sat-nr
1048576,4194304,1782.87,1781.62,1784.74,4,1,basic,sat-nr
2097152,8388608,3658.13,3657.2,3660.58,4,1,basic,sat-nr
4194304,16777216,7515.46,7514.47,7518.01,4,1,basic,sat-nr
8388608,33554432,15244.79,15243.86,15247.36,4,1,basic,sat-nr
16777216,67108864,30575.65,30574.67,30578.02,4,1,basic,sat-nr
1,4,2.67,2.66,2.67,4,1,basic,sat-arw
2,8,2.71,2.7,2.71,4,1,basic,sat-arw
4,16,2.75,2.75,2.76,4,1,basic,sat-arw
8,32,2.87,2.87,2.88,4,1,basic,sat-arw
16,64,3.41,3.39,3.43,4,1,basic,sat-arw
32,128,3.87,3.86,3.89,4,1,basic,sat-arw
64,256,4.16,4.12,4.2,4,1,basic,sat-arw
128,512,5.01,5.0,5.02,4,1,basic,sat-arw
256,1024,6.07,6.05,6.11,4,1,basic,sat-arw
512,2048,8.0,7.96,8.06,4,1,basic,sat-arw
1024,4096,7.67,7.61,7.72,4,1,basic,sat-arw
2048,8192,9.26,9.24,9.3,4,1,basic,sat-arw
4096,16384,14.04,14.01,14.08,4,1,basic,sat-arw
8192,32768,21.16,21.1,21.25,4,1,basic,sat-arw
16384,65536,37.3,37.17,37.41,4,1,basic,sat-arw
32768,131072,69.83,69.79,69.9,4,1,basic,sat-arw
65536,262144,136.82,136.72,136.94,4,1,basic,sat-arw
131072,524288,300.25,299.64,300.9,4,1,basic,sat-arw
262144,1048576,573.97,570.42,577.25,4,1,basic,sat-arw
524288,2097152,1157.84,1150.07,1168.72,4,1,basic,sat-arw
1048576,4194304,2364.04,2339.04,2379.93,4,1,basic,sat-arw
2097152,8388608,11590.08,11566.16,11603.02,4,1,basic,sat-arw
4194304,16777216,7504.96,7504.01,7507.45,4,1,basic,sat-arw
8388608,33554432,15230.52,15229.5,15233.02,4,1,basic,sat-arw
16777216,67108864,30634.85,30633.92,30637.4,4,1,basic,sat-arw
1,4,13.41,13.21,13.62,8,1,basic,no-sharp
2,8,17.41,17.18,17.56,8,1,basic,no-sharp
4,16,17.24,17.07,17.4,8,1,basic,no-sharp
8,32,17.26,17.13,17.38,8,1,basic,no-sharp
16,64,18.35,18.08,18.54,8,1,basic,no-sharp
32,128,19.15,19.0,19.32,8,1,basic,no-sharp
64,256,23.54,23.28,23.74,8,1,basic,no-sharp
128,512,24.69,24.52,24.87,8,1,basic,no-sharp
256,1024,25.45,25.24,25.65,8,1,basic,no-sharp
512,2048,27.53,27.4,27.63,8,1,basic,no-sharp
1024,4096,31.76,31.59,31.99,8,1,basic,no-sharp
2048,8192,42.39,42.23,42.53,8,1,basic,no-sharp
4096,16384,57.16,57.0,57.28,8,1,basic,no-sharp
8192,32768,88.45,87.94,88.84,8,1,basic,no-sharp
16384,65536,153.48,152.85,154.19,8,1,basic,no-sharp
32768,131072,263.31,262.4,264.36,8,1,basic,no-sharp
65536,262144,500.02,495.88,502.82,8,1,basic,no-sharp
131072,524288,919.31,916.76,921.47,8,1,basic,no-sharp
262144,1048576,1803.78,1801.13,1808.04,8,1,basic,no-sharp
524288,2097152,3531.35,3516.05,3548.51,8,1,basic,no-sharp
1048576,4194304,8051.47,7994.44,8114.32,8,1,basic,no-sharp
2097152,8388608,19553.41,19485.83,19585.1,8,1,basic,no-sharp
4194304,16777216,52247.92,52023.21,52461.06,8,1,basic,no-sharp
8388608,33554432,105895.55,105181.24,106751.79,8,1,basic,no-sharp
16777216,67108864,211497.6,210338.16,212698.49,8,1,basic,no-sharp
1,4,2.8,2.78,2.82,8,1,basic,llt-arw
2,8,2.77,2.75,2.79,8,1,basic,llt-arw
4,16,2.91,2.89,2.92,8,1,basic,llt-arw
8,32,3.5,3.46,3.53,8,1,basic,llt-arw
16,64,4.06,3.99,4.12,8,1,basic,llt-arw
32,128,4.57,4.44,4.67,8,1,basic,llt-arw
64,256,5.39,5.25,5.5,8,1,basic,llt-arw
128,512,6.81,6.69,6.88,8,1,basic,llt-arw
256,1024,9.28,9.16,9.41,8,1,basic,llt-arw
512,2048,16.67,16.54,16.78,8,1,basic,llt-arw
1024,4096,30.25,30.13,30.31,8,1,basic,llt-arw
2048,8192,58.08,57.93,58.17,8,1,basic,llt-arw
4096,16384,112.53,112.42,112.64,8,1,basic,llt-arw
8192,32768,220.47,220.16,220.65,8,1,basic,llt-arw
16384,65536,451.97,450.86,452.28,8,1,basic,llt-arw
32768,131072,869.77,868.3,870.18,8,1,basic,llt-arw
65536,262144,1737.5,1737.1,1737.85,8,1,basic,llt-arw
131072,524288,3459.17,3458.99,3459.34,8,1,basic,llt-arw
262144,1048576,6900.41,6899.83,6901.22,8,1,basic,llt-arw
524288,2097152,13794.44,13793.44,13794.8,8,1,basic,llt-arw
1048576,4194304,30509.12,30507.37,30511.23,8,1,basic,llt-arw
2097152,8388608,70107.32,69949.99,70287.4,8,1,basic,llt-arw
1,4,2.81,2.78,2.83,8,1,basic,sat-nr
2,8,2.82,2.79,2.84,8,1,basic,sat-nr
4,16,2.92,2.9,2.94,8,1,basic,sat-nr
8,32,5.25,5.22,5.26,8,1,basic,sat-nr
16,64,5.33,5.3,5.34,8,1,basic,sat-nr
32,128,5.57,5.52,5.61,8,1,basic,sat-nr
64,256,6.93,5.94,7.88,8,1,basic,sat-nr
128,512,6.94,5.95,7.92,8,1,basic,sat-nr
256,1024,7.22,6.28,8.44,8,1,basic,sat-nr
512,2048,7.84,6.66,8.8,8,1,basic,sat-nr
1024,4096,8.83,7.73,10.12,8,1,basic,sat-nr
2048,8192,10.87,9.94,12.69,8,1,basic,sat-nr
4096,16384,16.51,15.6,18.64,8,1,basic,sat-nr
8192,32768,27.49,26.92,29.39,8,1,basic,sat-nr
16384,65536,50.69,49.99,53.03,8,1,basic,sat-nr
32768,131072,97.74,97.2,99.61,8,1,basic,sat-nr
65536,262144,219.94,219.4,221.54,8,1,basic,sat-nr
131072,524288,437.68,437.1,439.49,8,1,basic,sat-nr
262144,1048576,875.6,874.56,879.42,8,1,basic,sat-nr
524288,2097152,1763.09,1762.51,1765.32,8,1,basic,sat-nr
1048576,4194304,3605.62,3604.83,3608.16,8,1,basic,sat-nr
2097152,8388608,7450.26,7449.26,7452.43,8,1,basic,sat-nr
4194304,16777216,15258.64,15257.98,15261.61,8,1,basic,sat-nr
8388608,33554432,30656.69,30656.12,30659.41,8,1,basic,sat-nr
16777216,67108864,61569.78,61569.1,61572.67,8,1,basic,sat-nr
1,4,2.81,2.78,2.85,8,1,basic,sat-arw
2,8,2.84,2.82,2.87,8,1,basic,sat-arw
4,16,2.92,2.9,2.95,8,1,basic,sat-arw
8,32,3.61,3.56,3.69,8,1,basic,sat-arw
16,64,4.04,3.99,4.07,8,1,basic,sat-arw
32,128,4.53,4.4,4.63,8,1,basic,sat-arw
64,256,5.36,5.25,5.45,8,1,basic,sat-arw
128,512,6.86,6.74,6.97,8,1,basic,sat-arw
256,1024,9.41,9.28,9.54,8,1,basic,sat-arw
512,2048,7.56,7.5,7.63,8,1,basic,sat-arw
1024,4096,8.95,8.88,9.03,8,1,basic,sat-arw
2048,8192,13.06,13.02,13.21,8,1,basic,sat-arw
4096,16384,19.27,19.21,19.36,8,1,basic,sat-arw
8192,32768,33.17,33.09,33.22,8,1,basic,sat-arw
16384,65536,61.38,61.3,61.51,8,1,basic,sat-arw
32768,131072,118.35,118.13,118.56,8,1,basic,sat-arw
65536,262144,264.52,264.11,265.12,8,1,basic,sat-arw
131072,524288,529.21,527.69,531.28,8,1,basic,sat-arw
262144,1048576,1041.96,1034.14,1047.82,8,1,basic,sat-arw
524288,2097152,2124.34,2110.14,2134.16,8,1,basic,sat-arw
1048576,4194304,11802.72,11779.25,11807.86,8,1,basic,sat-arw
2097152,8388608,24553.47,24523.95,24562.99,8,1,basic,sat-arw
4194304,16777216,15268.99,15268.35,15272.23,8,1,basic,sat-arw
8388608,33554432,30579.39,30578.86,30582.07,8,1,basic,sat-arw
16777216,67108864,61581.12,61580.51,61584.22,8,1,basic,sat-arw
1,4,28.05,27.93,28.18,16,1,basic,no-sharp
2,8,37.01,36.83,37.19,16,1,basic,no-sharp
4,16,38.21,37.4,39.44,16,1,basic,no-sharp
8,32,37.65,37.4,37.88,16,1,basic,no-sharp
16,64,41.89,41.61,42.49,16,1,basic,no-sharp
32,128,40.75,40.6,40.89,16,1,basic,no-sharp
64,256,50.01,49.83,50.28,16,1,basic,no-sharp
128,512,53.27,53.04,53.42,16,1,basic,no-sharp
256,1024,54.67,54.36,55.02,16,1,basic,no-sharp
512,2048,58.78,58.53,59.02,16,1,basic,no-sharp
1024,4096,69.49,69.0,70.11,16,1,basic,no-sharp
2048,8192,89.61,89.35,89.89,16,1,basic,no-sharp
4096,16384,118.85,118.62,119.08,16,1,basic,no-sharp
8192,32768,186.15,185.93,186.49,16,1,basic,no-sharp
16384,65536,328.68,327.85,329.27,16,1,basic,no-sharp
32768,131072,585.54,580.38,592.28,16,1,basic,no-sharp
65536,262144,1033.48,1029.96,1039.57,16,1,basic,no-sharp
131072,524288,1964.56,1956.77,1968.93,16,1,basic,no-sharp
262144,1048576,3854.56,3841.55,3867.65,16,1,basic,no-sharp
524288,2097152,7813.01,7771.52,7843.16,16,1,basic,no-sharp
1048576,4194304,19795.71,19717.54,19863.84,16,1,basic,no-sharp
2097152,8388608,40892.57,40809.92,40983.96,16,1,basic,no-sharp
4194304,16777216,99963.33,99830.55,100066.88,16,1,basic,no-sharp
8388608,33554432,203878.04,203646.91,204196.26,16,1,basic,no-sharp
16777216,67108864,408045.32,407107.91,408976.66,16,1,basic,no-sharp
1,4,2.88,2.86,2.94,16,1,basic,llt-arw
2,8,3.07,3.02,3.13,16,1,basic,llt-arw
4,16,3.71,3.68,3.78,16,1,basic,llt-arw
8,32,4.47,4.32,4.59,16,1,basic,llt-arw
16,64,5.31,5.03,5.59,16,1,basic,llt-arw
32,128,6.39,6.1,6.66,16,1,basic,llt-arw
64,256,8.88,8.61,9.15,16,1,basic,llt-arw
128,512,13.52,13.24,13.81,16,1,basic,llt-arw
256,1024,21.85,21.58,22.09,16,1,basic,llt-arw
512,2048,39.51,39.24,39.75,16,1,basic,llt-arw
1024,4096,74.67,74.39,74.9,16,1,basic,llt-arw
2048,8192,144.63,144.44,144.78,16,1,basic,llt-arw
4096,16384,293.21,292.99,294.11,16,1,basic,llt-arw
8192,32768,569.09,568.74,569.47,16,1,basic,llt-arw
16384,65536,1123.51,1122.42,1123.87,16,1,basic,llt-arw
32768,131072,2260.43,2258.99,2260.84,16,1,basic,llt-arw
65536,262144,4500.28,4499.42,4500.78,16,1,basic,llt-arw
131072,524288,8988.6,8988.24,8988.97,16,1,basic,llt-arw
262144,1048576,17945.73,17944.96,17946.92,16,1,basic,llt-arw
524288,2097152,38868.81,38865.55,38872.79,16,1,basic,llt-arw
1048576,4194304,83465.86,83383.18,83575.23,16,1,basic,llt-arw
2097152,8388608,172000.3,171737.51,172118.16,16,1,basic,llt-arw
1,4,2.99,2.96,3.02,16,1,basic,sat-nr
2,8,3.03,3.01,3.07,16,1,basic,sat-nr
4,16,5.42,5.36,5.48,16,1,basic,sat-nr
8,32,5.45,5.42,5.5,16,1,basic,sat-nr
16,64,5.67,5.62,5.74,16,1,basic,sat-nr
32,128,6.15,6.08,6.2,16,1,basic,sat-nr
64,256,9.1,8.23,10.85,16,1,basic,sat-nr
128,512,9.1,8.27,10.63,16,1,basic,sat-nr
256,1024,9.42,8.67,11.04,16,1,basic,sat-nr
512,2048,10.39,9.48,12.24,16,1,basic,sat-nr
1024,4096,12.1,11.23,13.95,16,1,basic,sat-nr
2048,8192,17.49,16.93,19.83,16,1,basic,sat-nr
4096,16384,28.45,27.89,30.8,16,1,basic,sat-nr
8192,32768,51.16,50.85,53.22,16,1,basic,sat-nr
16384,65536,97.47,96.83,100.19,16,1,basic,sat-nr
32768,131072,220.11,219.53,221.92,16,1,basic,sat-nr
65536,262144,436.3,435.67,438.27,16,1,basic,sat-nr
131072,524288,872.13,870.31,874.75,16,1,basic,sat-nr
262144,1048576,1749.77,1748.92,1752.26,16,1,basic,sat-nr
524288,2097152,3572.01,3571.24,3574.57,16,1,basic,sat-nr
1048576,4194304,7380.48,7379.41,7383.06,16,1,basic,sat-nr
2097152,8388608,15239.34,15238.51,15242.23,16,1,basic,sat-nr
4194304,16777216,30825.0,30824.26,30828.48,16,1,basic,sat-nr
8388608,33554432,61478.59,61477.72,61481.9,16,1,basic,sat-nr
16777216,67108864,123654.84,123653.67,123657.98,16,1,basic,sat-nr
1,4,2.92,2.91,2.94,16,1,basic,sat-arw
2,8,3.12,3.09,3.15,16,1,basic,sat-arw
4,16,3.71,3.65,3.75,16,1,basic,sat-arw
8,32,4.51,4.34,4.64,16,1,basic,sat-arw
16,64,5.31,5.04,5.56,16,1,basic,sat-arw
32,128,6.4,6.12,6.64,16,1,basic,sat-arw
64,256,8.86,8.55,9.09,16,1,basic,sat-arw
128,512,13.23,12.92,13.5,16,1,basic,sat-arw
256,1024,7.4,7.3,7.49,16,1,basic,sat-arw
512,2048,8.69,8.62,8.78,16,1,basic,sat-arw
1024,4096,12.58,12.52,12.65,16,1,basic,sat-arw
2048,8192,18.31,18.26,18.36,16,1,basic,sat-arw
4096,16384,31.26,31.17,31.34,16,1,basic,sat-arw
8192,32768,57.34,57.23,57.44,16,1,basic,sat-arw
16384,65536,109.79,109.71,109.91,16,1,basic,sat-arw
32768,131072,245.81,245.43,246.48,16,1,basic,sat-arw
65536,262144,494.95,494.11,495.91,16,1,basic,sat-arw
131072,524288,1001.52,995.71,1006.45,16,1,basic,sat-arw
262144,1048576,2009.73,1999.29,2015.79,16,1,basic,sat-arw
524288,2097152,11948.55,11933.62,11956.3,16,1,basic,sat-arw
1048576,4194304,24136.82,24097.97,24148.63,16,1,basic,sat-arw
2097152,8388608,48220.98,48167.43,48245.31,16,1,basic,sat-arw
4194304,16777216,30819.82,30819.04,30823.3,16,1,basic,sat-arw
8388608,33554432,61581.7,61580.86,61585.12,16,1,basic,sat-arw
16777216,67108864,123476.17,123475.44,123479.2,16,1,basic,sat-arw
